timestamp,value,anomaly_score,label,dataset
2015-04-01T03:02:53.0,1,0.3736173,false,realTweets/Twitter_volume_UPS.csv
2015-04-01T03:07:53.0,1,0.3736003,false,realTweets/Twitter_volume_UPS.csv
2015-04-01T03:12:53.0,1,0.37364563,false,realTweets/Twitter_volume_UPS.csv
2015-04-01T03:17:53.0,0,0.37323654,false,realTweets/Twitter_volume_UPS.csv
2015-04-01T03:22:53.0,0,0.37311408,false,realTweets/Twitter_volume_UPS.csv
2015-04-01T03:27:53.0,0,0.373422,false,realTweets/Twitter_volume_UPS.csv
2015-04-01T03:32:53.0,0,0.3735945,false,realTweets/Twitter_volume_UPS.csv
2015-04-01T03:37:53.0,1,0.3741959,false,realTweets/Twitter_volume_UPS.csv
2015-04-01T03:42:53.0,0,0.37416807,false,realTweets/Twitter_volume_UPS.csv
2015-04-01T03:47:53.0,0,0.37396938,false,realTweets/Twitter_volume_UPS.csv
2015-04-01T03:52:53.0,0,0.3742762,false,realTweets/Twitter_volume_UPS.csv
2015-04-01T03:57:53.0,4,0.37625366,false,realTweets/Twitter_volume_UPS.csv
2015-04-01T04:02:53.0,0,0.3757071,false,realTweets/Twitter_volume_UPS.csv
2015-04-01T04:07:53.0,2,0.37531695,false,realTweets/Twitter_volume_UPS.csv
2015-04-01T04:12:53.0,3,0.37682378,false,realTweets/Twitter_volume_UPS.csv
2015-04-01T04:17:53.0,0,0.37604246,false,realTweets/Twitter_volume_UPS.csv
2015-04-01T04:22:53.0,0,0.3753896,false,realTweets/Twitter_volume_UPS.csv
2015-04-01T04:27:53.0,3,0.37731412,false,realTweets/Twitter_volume_UPS.csv
2015-04-01T04:32:53.0,1,0.37773964,false,realTweets/Twitter_volume_UPS.csv
2015-04-01T04:37:53.0,0,0.37662876,false,realTweets/Twitter_volume_UPS.csv
2015-04-01T04:42:53.0,1,0.37743327,false,realTweets/Twitter_volume_UPS.csv
2015-04-01T04:47:53.0,0,0.37808162,false,realTweets/Twitter_volume_UPS.csv
2015-04-01T04:52:53.0,0,0.37806764,false,realTweets/Twitter_volume_UPS.csv
2015-04-01T04:57:53.0,1,0.37885743,false,realTweets/Twitter_volume_UPS.csv
2015-04-01T05:02:53.0,1,0.37938565,false,realTweets/Twitter_volume_UPS.csv
2015-04-01T05:07:53.0,1,0.3793558,false,realTweets/Twitter_volume_UPS.csv
2015-04-01T05:12:53.0,0,0.37908253,false,realTweets/Twitter_volume_UPS.csv
2015-04-01T05:17:53.0,1,0.37930128,false,realTweets/Twitter_volume_UPS.csv
2015-04-01T05:22:53.0,3,0.3805302,false,realTweets/Twitter_volume_UPS.csv
2015-04-01T05:27:53.0,1,0.38030475,false,realTweets/Twitter_volume_UPS.csv
2015-04-01T05:32:53.0,1,0.3793881,false,realTweets/Twitter_volume_UPS.csv
2015-04-01T05:37:53.0,0,0.37919116,false,realTweets/Twitter_volume_UPS.csv
2015-04-01T05:42:53.0,0,0.3792519,false,realTweets/Twitter_volume_UPS.csv
